name,provider,image
Le Zeus,Hacksaw Gaming,https://mediumrare.imgix.net/c8ea46eb5de5160e3605e592e54985022fb4281c11c7209332316c84d2ea65af?w=180&h=236&fit=min&auto=format
Fire Stampede 2,Pragmatic Play,https://mediumrare.imgix.net/8db2a8fe1345b39a2a90e04cdcce1de795a3d3c4116a3b1a05c4485fbed88027?w=180&h=236&fit=min&auto=format
Book of Flames Buy Bonus,Novomatic,https://mediumrare.imgix.net/06f17716f7ecdda9cec6398a0ce078b542e99c317b4d9b1ccaafdab00058db41?w=180&h=236&fit=min&auto=format
Super Cash: Three Little Wins,Penguin King,https://mediumrare.imgix.net/0d05af54f658f954ffc8e80f2ac513d3d048563dd4ff2e52ad1f70215c86a79e?w=180&h=236&fit=min&auto=format
Electric Rush,AvatarUX,https://mediumrare.imgix.net/3ec43a8c5ffe1533724e6fb6b3c39d5315e6c2664b9dc2c99d0b451e6b83b43c?w=180&h=236&fit=min&auto=format
Bullets and Bounty,Hacksaw Gaming,https://mediumrare.imgix.net/6a3d3ca2aa83567b992f05784d33a8feb809d233cb128fb0872657249b213bba?w=180&h=236&fit=min&auto=format
Play With the Devil MegaWays,Red Tiger,https://mediumrare.imgix.net/3d20c74806241245507223f75b7af1af4ffb211fe9333048728156f3aa786f16?w=180&h=236&fit=min&auto=format
Triple Rampage,Push Gaming,https://mediumrare.imgix.net/4ae62fe2c3a4f7dd42628e92b7223a24de1d626d5145b8a88a0acd177ff715ec?w=180&h=236&fit=min&auto=format
Gem Ghosts,Bullshark Games,https://mediumrare.imgix.net/c5ee500619afc946c6d3cde4442c552f188a4b98f48a9ee383cbd6436c6dc9c3?w=180&h=236&fit=min&auto=format
Gator Hunters,Nolimit City,https://mediumrare.imgix.net/5deaca2ecd3f4ba753865b2a61943d1e43b0ec6f0922c567d1d276accbffcca2?w=180&h=236&fit=min&auto=format
Dead Man's Drop,Slotmill,https://mediumrare.imgix.net/54b06031489c03f8f864a88c9aedda59ebe5c3540fda1955e37eb38beedd59d7?w=180&h=236&fit=min&auto=format
Pillage and Plunder,Slotmill,https://mediumrare.imgix.net/09e1c1e759315eaa5712a62d203e71b36b362107e30c22294bc9b8c4e07807ef?w=180&h=236&fit=min&auto=format
Thunder Crown,Endorphina,https://mediumrare.imgix.net/69754caa96d16a738af30dc4c96c94124f96d0ce453f9fc05f6a28ceed37b9aa?w=180&h=236&fit=min&auto=format
Jackpot District: City of Fortune,Penguin King,https://mediumrare.imgix.net/82bf17d0a6e8851b8873591e7dc713547b994ff9b2bee952daf61d4ec5781520?w=180&h=236&fit=min&auto=format
Fire Joker Blitz,Play'n Go,https://mediumrare.imgix.net/8a17a08d81642594bd82ad98ac5a7cc2a7833495d68ac93ccd81879d31c7c8b6?w=180&h=236&fit=min&auto=format
666 Bonanza,Gentry Games,https://mediumrare.imgix.net/5dd64b3799ad00e0cde9a004d64aa7ed42ceb875306be8a6999ea64b71029e22?w=180&h=236&fit=min&auto=format
Magic Clovers,3 Oaks Gaming,https://mediumrare.imgix.net/f1875c96ed5930533a03646db5003742a366bd5b6d0bf6698f5a50700d4b08eb?w=180&h=236&fit=min&auto=format
Stuntman Dan,MaxRNG,https://mediumrare.imgix.net/10cd4c667d7195b4a7777dc4c0c31c95fd08d6b350a953e0ad6c03ed083f1470?w=180&h=236&fit=min&auto=format
Phoenix Winter Parade,18 Gaming,https://mediumrare.imgix.net/eb759c4b54e7ab22876d437750a1a83e25c6d6959195e3cde24db9be28270d9d?w=180&h=236&fit=min&auto=format
Raiders Of Riches,MadLab Gaming,https://mediumrare.imgix.net/5284252eafdb0c0cacd78838e5a8d29a45b180c65565ae6bc2b6704b3f18e615?w=180&h=236&fit=min&auto=format
Crystal Clusters,BGaming,https://mediumrare.imgix.net/d765f7d52479743bc180af102f1d366f20ae8dbb40fab5b2d01855513a4d36db?w=180&h=236&fit=min&auto=format
Fire Pig Push Ways,Push Gaming,https://mediumrare.imgix.net/ddd7d6d3ef760f9b625f00e3e1fd7d8c803e4578a9ebcd60d611aa85c210e521?w=180&h=236&fit=min&auto=format
Ice Mints,Pragmatic Play,https://mediumrare.imgix.net/2f62c75034b67e30d769838612cc8cd0021eb2033acccf98c5e889cab847be05?w=180&h=236&fit=min&auto=format
Round Robin,Paperclip Gaming,https://mediumrare.imgix.net/b51335fc55ade9b1b2080d19f2705eead540754e93bc0d3471ff629d84adee15?w=180&h=236&fit=min&auto=format
Bling King Camel,Massive Studios,https://mediumrare.imgix.net/4a274e43c004f07b1a282ff7e729ca5980ff3322fbe6d278cdc4bf7f0df94c94?w=180&h=236&fit=min&auto=format
Angel vs Sinner Eternal Battle Enhanced RTP,Pragmatic Play,https://mediumrare.imgix.net/0a87d35cf8627454227d88fbd3d46ef01b8b18f6c8c38502be6d5553ff784677?w=180&h=236&fit=min&auto=format
Marlin Masters: The Big Haul,Hacksaw Gaming,https://mediumrare.imgix.net/1591d4dcd00a304f1e9929ca774be2d253234e2c3b019fd383fee015f24615cb?w=180&h=236&fit=min&auto=format
Fish n Fish,Red Tiger,https://mediumrare.imgix.net/62692982ad17e92e67d8e1af5da4f363d5c2e13ea89f988bcbca528ea447e06e?w=180&h=236&fit=min&auto=format
Wizard 1000,Titan Gaming,https://mediumrare.imgix.net/b0a5417ff07224775675d4e866a442857e94eb4112da0ef4c8868dd4e96d76d4?w=180&h=236&fit=min&auto=format
Swoll,Shady Lady,https://mediumrare.imgix.net/a18c4d610a6a597c47d18ef7f5a7145fb32ed250bbd96f93973c34248b3b2865?w=180&h=236&fit=min&auto=format
Blades of Rome,Popiplay,https://mediumrare.imgix.net/7edad7608014c5304d7451dc7a19fa7f863f9a87c31679ef0e68dad2a43f2a31?w=180&h=236&fit=min&auto=format
Fish and Bird,ELK Studios,https://mediumrare.imgix.net/4a9266068d26cd09e83a747a3afb9491d91b63be982edd14ac20c2c58a2d4672?w=180&h=236&fit=min&auto=format
Mystery Bats,Backseat Gaming,https://mediumrare.imgix.net/8d63f216e43cc811c44219cc2e68701ffc65fd11a2b064ff76e6880b3de1a4e3?w=180&h=236&fit=min&auto=format
Wall street Honey Stakes,18 Gaming,https://mediumrare.imgix.net/9931e4bca1ac94b34da610c353494523aeca211577569a67ad7d53d4ab770f07?w=180&h=236&fit=min&auto=format
Big Bass Reel Repeat,Pragmatic Play,https://mediumrare.imgix.net/7f65a3148997321a5a97908745726044e003b310bc0e52a397acef36b525dcbe?w=180&h=236&fit=min&auto=format
4 Pots Riches: Hold and Win,Playson,https://mediumrare.imgix.net/bafe0b24289f7befd07e29ad50648d78ad773fd4f70bd0fabc3ec2a1d3955be2?w=180&h=236&fit=min&auto=format
